"","col_names","my.data"
"1",Jan 1950,68.63
"2",Feb 1950,68.63
"3",Mar 1950,68.63
"4",Apr 1950,68.63
"5",May 1950,68.63
"6",Jun 1950,68.63
"7",Jul 1950,59.16
"8",Aug 1950,48.7
"9",Sep 1950,47.54
"10",Oct 1950,50.91
"11",Nov 1950,44.7
"12",Dec 1950,42.85
"13",Jan 1951,39.62
"14",Feb 1951,44.45
"15",Mar 1951,38.98
"16",Apr 1951,42.62
"17",May 1951,48.27
"18",Jun 1951,59.39
"19",Jul 1951,51.66
"20",Aug 1951,38.55
"21",Sep 1951,60.33
"22",Oct 1951,72.27
"23",Nov 1951,68.62
"24",Dec 1951,69.63
"25",Jan 1952,72.2
"26",Feb 1952,67.87
"27",Mar 1952,64.91001
"28",Apr 1952,53.85
"29",May 1952,37.96
"30",Jun 1952,23.23
"31",Jul 1952,12.68
"32",Aug 1952,9.84
"33",Sep 1952,7.82
"34",Oct 1952,11.78
"35",Nov 1952,10.22
"36",Dec 1952,12.19
"37",Jan 1953,18.6
"38",Feb 1953,26.97
"39",Mar 1953,22.52
"40",Apr 1953,19.18
"41",May 1953,17.14
"42",Jun 1953,18.61
"43",Jul 1953,20.02
"44",Aug 1953,22.65
"45",Sep 1953,38.99
"46",Oct 1953,76.55
"47",Nov 1953,87.99
"48",Dec 1953,99.8
"49",Jan 1954,96.69
"50",Feb 1954,87.45
"51",Mar 1954,88.57
"52",Apr 1954,97.43
"53",May 1954,99.99
"54",Jun 1954,94.88
"55",Jul 1954,86.99
"56",Aug 1954,79.73001
"57",Sep 1954,92.35
"58",Oct 1954,91.29
"59",Nov 1954,94.31
"60",Dec 1954,84.95
"61",Jan 1955,82.97
"62",Feb 1955,92.98001
"63",Mar 1955,81.06
"64",Apr 1955,62.37
"65",May 1955,52.99
"66",Jun 1955,39.53
"67",Jul 1955,42.9
"68",Aug 1955,33.76
"69",Sep 1955,40.97
"70",Oct 1955,60.5
"71",Nov 1955,66.61
"72",Dec 1955,80.38
"73",Jan 1956,95.86
"74",Feb 1956,97.74
"75",Mar 1956,80.24
"76",Apr 1956,73.44
"77",May 1956,65.67
"78",Jun 1956,47.81
"79",Jul 1956,33.51
"80",Aug 1956,34.22
"81",Sep 1956,32.95
"82",Oct 1956,32.55
"83",Nov 1956,46.92
"84",Dec 1956,44.64
"85",Jan 1957,53.02
"86",Feb 1957,41.98
"87",Mar 1957,30.43
"88",Apr 1957,24.43
"89",May 1957,18.05
"90",Jun 1957,20.98
"91",Jul 1957,12.37
"92",Aug 1957,12.03
"93",Sep 1957,12.41
"94",Oct 1957,15.89
"95",Nov 1957,20.46
"96",Dec 1957,26.95
"97",Jan 1958,30.29
"98",Feb 1958,26.21
"99",Mar 1958,23.34
"100",Apr 1958,25.55
"101",May 1958,25.4
"102",Jun 1958,24.16
"103",Jul 1958,23.34
"104",Aug 1958,24.38
"105",Sep 1958,27.2
"106",Oct 1958,29.18
"107",Nov 1958,43.3
"108",Dec 1958,53.92
"109",Jan 1959,59.76
"110",Feb 1959,64.52
"111",Mar 1959,65.84
"112",Apr 1959,70.19
"113",May 1959,75.27
"114",Jun 1959,77.63
"115",Jul 1959,76.96
"116",Aug 1959,77.7
"117",Sep 1959,85.13
"118",Oct 1959,99.33999
"119",Nov 1959,97.7
"120",Dec 1959,97.01999
"121",Jan 1960,98.83
"122",Feb 1960,99.8
"123",Mar 1960,96.74
"124",Apr 1960,93.54
"125",May 1960,82.08
"126",Jun 1960,71.51
"127",Jul 1960,49.61
"128",Aug 1960,41.76
"129",Sep 1960,59.78
"130",Oct 1960,90.97
"131",Nov 1960,85.26
"132",Dec 1960,100
"133",Jan 1961,98.5
"134",Feb 1961,98.7
"135",Mar 1961,93.1
"136",Apr 1961,79.37
"137",May 1961,81.97
"138",Jun 1961,55.94
"139",Jul 1961,50.39
"140",Aug 1961,48.64
"141",Sep 1961,40.12
"142",Oct 1961,63.04
"143",Nov 1961,60.51
"144",Dec 1961,78.72
"145",Jan 1962,71.37
"146",Feb 1962,76.43
"147",Mar 1962,71.25
"148",Apr 1962,56.46
"149",May 1962,41.84
"150",Jun 1962,41.24
"151",Jul 1962,35.28
"152",Aug 1962,39.86
"153",Sep 1962,45.13
"154",Oct 1962,53.8
"155",Nov 1962,77.54
"156",Dec 1962,80.02
"157",Jan 1963,81.28
"158",Feb 1963,73.58
"159",Mar 1963,66.06
"160",Apr 1963,59.46
"161",May 1963,59.49
"162",Jun 1963,51.9
"163",Jul 1963,35.21
"164",Aug 1963,39.65
"165",Sep 1963,31.9
"166",Oct 1963,61.56
"167",Nov 1963,88.25
"168",Dec 1963,96.46
"169",Jan 1964,83.94
"170",Feb 1964,89.05
"171",Mar 1964,92.97
"172",Apr 1964,98.29
"173",May 1964,99.79
"174",Jun 1964,94.01
"175",Jul 1964,87.06
"176",Aug 1964,80.46
"177",Sep 1964,74.86
"178",Oct 1964,67.18
"179",Nov 1964,73.85
"180",Dec 1964,80.15
"181",Jan 1965,69.45
"182",Feb 1965,50.39
"183",Mar 1965,31.68
"184",Apr 1965,31.25
"185",May 1965,23.11
"186",Jun 1965,11.32
"187",Jul 1965,8.96
"188",Aug 1965,6.03
"189",Sep 1965,11.7
"190",Oct 1965,34.63
"191",Nov 1965,58.31
"192",Dec 1965,58.66
"193",Jan 1966,72.62
"194",Feb 1966,85.76
"195",Mar 1966,94.29
"196",Apr 1966,92.76999
"197",May 1966,93.18
"198",Jun 1966,89.32
"199",Jul 1966,81.63
"200",Aug 1966,71.44
"201",Sep 1966,66.42
"202",Oct 1966,80.02
"203",Nov 1966,76.52
"204",Dec 1966,77.51
"205",Jan 1967,67.73001
"206",Feb 1967,50.52
"207",Mar 1967,48.97
"208",Apr 1967,50.64
"209",May 1967,38.73
